#STN     LAT      LON  YYYY MM DD hh mm WDIR WSPD   GST WVHT  DPD APD MWD   PRES  PTDY  ATMP  WTMP  DEWP  VIS   TIDE
#text    deg      deg   yr mo day hr mn degT  m/s   m/s   m   sec sec degT   hPa   hPa  degC  degC  degC  nmi     ft
45159  43.767  -78.984 2014 06 17 01 00  30   2.0   2.0  0.2   3   MM  MM 1016.5  +1.1  13.4  12.2    MM   MM     MM
45161  43.178  -86.361 2014 06 17 00 55  MM   4.0    MM  0.1  MM   MM  MM     MM    MM  18.0  13.6    MM   MM     MM
45166  45.032  -73.133 2014 06 17 02 00 120   1.0   3.0  0.1  MM   MM  MM     MM    MM  21.6    MM  14.3   MM     MM
45170  41.755  -86.968 2014 06 17 02 10 170   3.0   3.0  0.1  MM   MM  MM     MM    MM  23.2  18.2  19.0   MM     MM
46001  56.304 -147.920 2014 06 17 01 50  MM    MM    MM  2.2   7  5.0  MM  993.5  -1.4    MM   9.9    MM   MM     MM
46002  42.589 -130.474 2014 06 17 01 50 340   6.0   7.0  1.6  10  6.2  MM 1022.5  +0.0  14.2  14.8    MM   MM     MM
46004  50.930 -136.095 2014 06 17 01 00 170   6.0   6.0  1.1   8   MM  MM 1018.9  -0.4  11.1  12.2    MM   MM     MM
46011  35.000 -120.992 2014 06 17 01 50 310   9.0  11.0  2.0   8  5.3 317 1014.7  -0.8  13.7  13.8    MM   MM     MM
46012  37.363 -122.881 2014 06 17 01 50 300   7.0   9.0  2.3   7  5.9 309 1014.3  -0.4  13.0  11.6    MM   MM     MM
46013  38.242 -123.301 2014 06 17 01 50 310  13.0  16.0  2.6   7  5.7  MM 1012.3  +0.0  11.7   9.6    MM   MM     MM
46014  39.235 -123.974 2014 06 17 01 50 330  15.0  19.0   MM  MM   MM  MM 1013.2  -0.0  12.2  10.7    MM   MM     MM
46015  42.764 -124.832 2014 06 17 01 50 320   3.0   4.0  1.5   8  6.1 303 1018.4  +0.0  11.8  11.4    MM   MM     MM
46025  33.749 -119.053 2014 06 17 01 50 260   4.0   5.0  1.0   6  4.7 267 1011.7  -0.8  17.4  19.1  12.9   MM     MM
46026  37.755 -122.839 2014 06 17 01 50 310  11.0  13.0  2.2   8  5.5 299     MM    MM  12.1    MM    MM   MM     MM
46027  41.850 -124.381 2014 06 17 01 50 330  11.0  13.0  1.6   5  4.5 333 1017.1  +0.5   8.6   7.6    MM   MM     MM
46028  35.741 -121.884 2014 06 17 01 50 300  10.0    MM   MM  MM   MM  MM     MM    MM    MM    MM    MM   MM     MM
46029  46.159 -124.514 2014 06 17 01 50 320   7.0   8.0  2.1   8  6.0 314 1016.0  +0.4  13.5  13.1  13.5   MM     MM
46041  47.349 -124.708 2014 06 17 01 50  MM   7.0   8.0  1.9   9  5.8  MM 1014.5  +0.3    MM  11.7    MM   MM     MM
46042  36.785 -122.469 2014 06 17 01 50 300   6.0   8.0  1.9   8  5.8 316 1015.5  +0.0  13.0  12.3    MM   MM     MM
46044  36.700 -122.378 2014 06 17 01 50 300   8.0   9.0  2.0   8  5.9 318 1015.0  -0.4  13.2    MM  10.4   MM     MM
46047  32.403 -119.536 2014 06 17 01 50 320   9.0  11.0  1.7   8  5.6 314 1013.7  -0.9  15.5  16.7    MM   MM     MM
46050  44.639 -124.534 2014 06 17 01 50 340   8.0  11.0  2.2  10  6.1 327 1017.2  +0.0  13.2  14.2    MM   MM     MM
46053  34.262 -119.879 2014 06 17 01 50 280  10.0  12.0   MM  MM   MM  MM 1010.8  -2.4  15.7  16.0    MM   MM     MM
46054  34.265 -120.477 2014 06 17 01 50 320  12.0  15.0  2.0   8  5.4 324 1012.7  -1.2  14.0  15.0    MM   MM     MM
46060  60.584 -146.784 2014 06 17 01 50 100  10.0    MM   MM  MM   MM  MM     MM    MM   9.3    MM    MM   MM     MM
46061  60.227 -146.834 2014 06 17 01 50 120  11.0  14.0  2.0   6  4.8 118 1003.8  -4.2  10.2  10.7    MM   MM     MM
46066  52.785 -155.047 2014 06 17 01 50  MM    MM    MM  1.9   8  5.7 218 1001.3  +0.0   8.5   9.3    MM   MM     MM
46069  33.674 -120.212 2014 06 17 01 50 320  12.0  15.0  1.9   6  5.0  MM 1012.7  -0.6  14.5  15.6    MM   MM     MM
46070  55.083  175.270 2014 06 17 01 50  MM    MM    MM  1.9   8  5.7  MM 1015.4  +0.0   5.9   6.2    MM   MM     MM
46075  53.911 -160.806 2014 06 17 01 50 300   8.0   9.0  1.1   8  4.7  MM 1003.7  +0.8   8.8  10.1    MM   MM     MM
46076  59.498 -147.983 2014 06 17 01 50  80  16.0  21.0   MM  MM   MM  MM  997.9  -6.3   9.0   9.3    MM   MM     MM
46077  57.892 -154.291 2014 06 17 01 50  30  11.0  14.0  1.3   5  3.9  MM  993.4  -4.0   7.5   9.4    MM   MM     MM
46078  55.990 -152.640 2014 06 17 01 50 290  15.0  18.0  1.4   4  4.6 292  990.6  -0.7   8.2   9.7    MM   MM     MM
46084  56.600 -136.101 2014 06 17 01 50 170   6.0   8.0  1.0   7  5.5  MM 1015.8  -0.5  12.2  12.6   8.9   MM     MM
46086  32.491 -118.035 2014 06 17 01 50 300   8.0   9.0  1.5   8  5.3 293 1012.3  -0.7  16.8  18.2    MM   MM     MM
46087  48.494 -124.728 2014 06 17 01 50 230   4.0   5.0  1.6   8  6.4 278 1013.9  +0.4  11.8  11.4  10.2   MM     MM
46088  48.336 -123.159 2014 06 17 01 50 240   7.0   8.0  0.2  MM  3.8  MM 1012.9  +0.0  11.5  10.6   9.1   MM     MM
46089  45.893 -125.819 2014 06 17 01 50 320   7.0  11.0  2.3   8  5.6 305 1017.5  +0.4  13.7  14.9    MM   MM     MM
